{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 12668, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 12696, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'YourPhone.exe'}
{'pid': 12852, 'username': None, 'name': 'McCSPServiceHost.exe'}
{'pid': 12880, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'RuntimeBroker.exe'}
{'pid': 13228, 'username': None, 'name': 'svchost.exe'}
{'pid': 13868, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'atmgr.exe'}
{'pid': 14024, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'NVIDIA Share.exe'}
{'pid': 14184, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'SecurityHealthSystray.exe'}
{'pid': 14216, 'username': None, 'name': 'SecurityHealthService.exe'}
{'pid': 14300, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'OneDrive.exe'}
{'pid': 14364, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 14368, 'username': None, 'name': 'svchost.exe'}
{'pid': 14480, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'Cortana.exe'}
{'pid': 14540, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'CastSrv.exe'}
{'pid': 14588, 'username': None, 'name': 'svchost.exe'}
{'pid': 14616, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'RuntimeBroker.exe'}
{'pid': 14640, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'plugin_host.exe'}
{'pid': 14704, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'svchost.exe'}
{'pid': 14792, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 14844, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'ONENOTEM.EXE'}
{'pid': 14920, 'username': None, 'name': 'mcshield.exe'}
{'pid': 15132, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'ModuleCoreService.exe'}
{'pid': 15140, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'conhost.exe'}
{'pid': 15224, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'RtkAudUService64.exe'}
{'pid': 15232, 'username': None, 'name': 'MfeAVSvc.exe'}
{'pid': 15396, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 15416, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 15480, 'username': None, 'name': 'MoUsoCoreWorker.exe'}
{'pid': 15492, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'RuntimeBroker.exe'}
{'pid': 15824, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'AsusOSD.exe'}
{'pid': 15916, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'ApplicationFrameHost.exe'}
{'pid': 15948, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'WinStore.App.exe'}
{'pid': 16192, 'username': None, 'name': 'svchost.exe'}
{'pid': 16908, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 16936, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 17084, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 17096, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 17192, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 17520, 'username': None, 'name': 'svchost.exe'}
{'pid': 17860, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'cmd.exe'}
{'pid': 17928, 'username': None, 'name': 'SearchProtocolHost.exe'}
{'pid': 17936, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 18128, 'username': None, 'name': 'McSmtFwk.exe'}
{'pid': 18232, 'username': None, 'name': 'svchost.exe'}
{'pid': 18688, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'python.exe'}
{'pid': 18760, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 18868, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'GameBar.exe'}
{'pid': 19128, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 19212, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 19236, 'username': None, 'name': 'svchost.exe'}
{'pid': 19324, 'username': None, 'name': 'svchost.exe'}
{'pid': 19432, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
